Year,City,Sport,Athlete,Country,Gender,Event,Medal
1994,Lillehammer,Skating,"BRADBURY, Steven",AUS,Men,5000M Relay,Bronze
1994,Lillehammer,Skating,"HANSEN, Kieran",AUS,Men,5000M Relay,Bronze
1994,Lillehammer,Skating,"MURTHA, Andrew",AUS,Men,5000M Relay,Bronze
1994,Lillehammer,Skating,"NIZIELSKI, Richard",AUS,Men,5000M Relay,Bronze
1998,Nagano,Skiing,"STEGGALL, Zali",AUS,Women,Slalom,Bronze
2002,Salt Lake City,Skating,"BRADBURY, Steven",AUS,Men,1000M,Gold
2002,Salt Lake City,Skiing,"CAMPLIN, Alisa",AUS,Women,Aerials,Gold
2006,Turin,Skiing,"CAMPLIN, Alisa",AUS,Women,Aerials,Bronze
2006,Turin,Skiing,"BEGG-SMITH, Dale",AUS,Men,Moguls,Gold
2010,Vancouver,Skiing,"LASSILA, Lydia",AUS,Women,Aerials,Gold
2010,Vancouver,Skiing,"BEGG-SMITH, Dale",AUS,Men,Moguls,Silver
2010,Vancouver,Skiing,"BRIGHT, Torah",AUS,Women,Half-Pipe,Gold
2014,Sochi,Skiing,"MORRIS, David",AUS,Men,Aerials,Silver
2014,Sochi,Skiing,"LASSILA, Lydia",AUS,Women,Aerials,Bronze
2014,Sochi,Skiing,"BRIGHT, Torah",AUS,Women,Half-Pipe,Silver
1928,St.Moritz,Bobsleigh,"HESS, Hans",GER,Men,Five-Man,Bronze
1928,St.Moritz,Bobsleigh,"HUBER, Sebastian",GER,Men,Five-Man,Bronze
1928,St.Moritz,Bobsleigh,"KILIAN, Hanns",GER,Men,Five-Man,Bronze
1928,St.Moritz,Bobsleigh,"KREMPL, Valentin",GER,Men,Five-Man,Bronze
1928,St.Moritz,Bobsleigh,"NeGLE, Hanns",GER,Men,Five-Man,Bronze
1932,Lake Placid,Bobsleigh,"BREHME, Albert",GER,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,"GRAU, Fritz",GER,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,"HOPMANN, Helmut",GER,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,"HUBER, Sebastian",GER,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,"HUTH, Werner",GER,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,"KILIAN, Hanns",GER,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,"KROTKI, Rudolf",GER,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,"LUDWIG, Max",GER,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,"MEHLHHORN, Hans",GER,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,"ROSSNER, Heinrich",GER,Men,Four-Man,Bronze
1932,Lake Placid,Bobsleigh,"ZAHN, Werner",GER,Men,Four-Man,Bronze
1932,Lake Placid,Ice Hockey,"BALL, Rudolf",GER,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,"HEINRICH, Alfred",GER,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,"HERKER, Erich",GER,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,"JeNECKE, Gustav",GER,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,"KORFF, Werner",GER,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,"LEINWEBER, Walter",GER,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,"Re_MER, Erich",GER,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,"SCHRe_TTLE, Martin",GER,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,"SLEVOGT, Marquardt",GER,Men,Ice Hockey,Bronze
1932,Lake Placid,Ice Hockey,"STROBL, Georg",GER,Men,Ice Hockey,Bronze
1936,Garmisch Partenkirchen,Skating,"BAIER, Ernst",GER,Men,Individual,Silver
1936,Garmisch Partenkirchen,Skating,"BAIER, Ernst",GER,Men,Pairs,Gold
1992,Albertville,Skating,"ZINKE, Olaf",GER,Men,1000M,Gold
1936,Garmisch Partenkirchen,Skiing,"PFNeeR, Franz",GER,Men,Alpine Combined,Gold
1936,Garmisch Partenkirchen,Skiing,"LANTSCHNER, Gustav",GER,Men,Alpine Combined,Silver
1994,Lillehammer,Skiing,"WASMEIER, Markus",GER,Men,Giant Slalom,Gold
1994,Lillehammer,Skiing,"WASMEIER, Markus",GER,Men,Super-G,Gold
1992,Albertville,Biathlon,"KIRCHNER, Mark",GER,Men,10KM,Gold
1992,Albertville,Biathlon,"GROSS, Ricco",GER,Men,10KM,Silver
1992,Albertville,Biathlon,"KIRCHNER, Mark",GER,Men,20KM,Silver
1992,Albertville,Biathlon,"FISCHER, Fritz",GER,Men,4X7.5KM Relay,Gold
1992,Albertville,Biathlon,"GROSS, Ricco",GER,Men,4X7.5KM Relay,Gold
1992,Albertville,Biathlon,"KIRCHNER, Mark",GER,Men,4X7.5KM Relay,Gold
1992,Albertville,Biathlon,"STEINIGEN, Jens",GER,Men,4X7.5KM Relay,Gold
1994,Lillehammer,Biathlon,"GROSS, Ricco",GER,Men,10KM,Silver
1994,Lillehammer,Biathlon,"FISCHER, Sven",GER,Men,20KM,Bronze
1994,Lillehammer,Biathlon,"LUCK, Frank",GER,Men,20KM,Silver
1994,Lillehammer,Biathlon,"FISCHER, Sven",GER,Men,4X7.5KM Relay,Gold
1994,Lillehammer,Biathlon,"GROSS, Ricco",GER,Men,4X7.5KM Relay,Gold
1992,Albertville,Bobsleigh,"HANNEMANN, Rene",GER,Men,Four-Man,Silver
1992,Albertville,Bobsleigh,"HOPPE, Wolfgang",GER,Men,Four-Man,Silver
1992,Albertville,Bobsleigh,"KeeHN, Axel",GER,Men,Four-Man,Silver
1992,Albertville,Bobsleigh,"MUSIOL, Bogdan",GER,Men,Four-Man,Silver
1992,Albertville,Bobsleigh,"EGER, Ge_nther",GER,Men,Two-Man,Bronze
1992,Albertville,Bobsleigh,"LANGEN, Christoph",GER,Men,Two-Man,Bronze
1992,Albertville,Bobsleigh,"LOCHNER, Rudolf",GER,Men,Two-Man,Silver
1992,Albertville,Bobsleigh,"ZIMMERMANN, Markus",GER,Men,Two-Man,Silver
1992,Albertville,Luge,"BEHRENDT, Jan",GER,Men,Doubles,Gold
1992,Albertville,Luge,"KRAUSSE, Stefan",GER,Men,Doubles,Gold
1992,Albertville,Luge,"MANKEL, Yves",GER,Men,Doubles,Silver
1992,Albertville,Luge,"RUDOLPH, Thomas",GER,Men,Doubles,Silver
1992,Albertville,Luge,"HACKL, Georg",GER,Men,Singles,Gold
1994,Lillehammer,Luge,"BEHRENDT, Jan",GER,Men,Doubles,Bronze
1992,Albertville,Skating,"MEY, Uwe-Jens",GER,Men,500M,Gold
1998,Nagano,Skating,"STEUER, Ingo",GER,Men,Pairs,Bronze
2002,Salt Lake City,Skating,"BODEN, Jens",GER,Men,5000M,Bronze
2010,Vancouver,Skating,"SZOLKOWY, Robin",GER,Men,Pairs,Bronze
2014,Sochi,Skating,"SZOLKOWY, Robin",GER,Men,Pairs,Bronze
1994,Lillehammer,Skiing,"WEISSFLOG, Jens",GER,Men,K120 Individual (90M),Gold
1994,Lillehammer,Biathlon,"KIRCHNER, Mark",GER,Men,4X7.5KM Relay,Gold
1994,Lillehammer,Biathlon,"LUCK, Frank",GER,Men,4X7.5KM Relay,Gold
1998,Nagano,Biathlon,"FISCHER, Sven",GER,Men,4X7.5KM Relay,Gold
1998,Nagano,Biathlon,"GROSS, Ricco",GER,Men,4X7.5KM Relay,Gold
1998,Nagano,Biathlon,"LUCK, Frank",GER,Men,4X7.5KM Relay,Gold
1998,Nagano,Biathlon,"SENDEL, Peter",GER,Men,4X7.5KM Relay,Gold
2002,Salt Lake City,Biathlon,"FISCHER, Sven",GER,Men,10KM,Silver
2002,Salt Lake City,Biathlon,"GROSS, Ricco",GER,Men,12.5Km Pursuit,Bronze
2002,Salt Lake City,Biathlon,"LUCK, Frank",GER,Men,20KM,Silver
2002,Salt Lake City,Biathlon,"FISCHER, Sven",GER,Men,4X7.5KM Relay,Silver
2002,Salt Lake City,Biathlon,"GROSS, Ricco",GER,Men,4X7.5KM Relay,Silver
2002,Salt Lake City,Biathlon,"LUCK, Frank",GER,Men,4X7.5KM Relay,Silver
1994,Lillehammer,Bobsleigh,"EMBACH, Carsten",GER,Men,Four-Man,Bronze
1994,Lillehammer,Bobsleigh,"HANNEMANN, Rene",GER,Men,Four-Man,Bronze
1994,Lillehammer,Bobsleigh,"HIELSCHER, Ulf",GER,Men,Four-Man,Bronze
1994,Lillehammer,Bobsleigh,"HOPPE, Wolfgang",GER,Men,Four-Man,Bronze
1994,Lillehammer,Bobsleigh,"BRANNASCH, Karsten",GER,Men,Four-Man,Gold
1994,Lillehammer,Bobsleigh,"CZUDAJ, Harald",GER,Men,Four-Man,Gold
1994,Lillehammer,Bobsleigh,"HAMPEL, Olaf",GER,Men,Four-Man,Gold
1994,Lillehammer,Bobsleigh,"SZELIG, Alexander",GER,Men,Four-Man,Gold
1994,Lillehammer,Luge,"KRAUSSE, Stefan",GER,Men,Doubles,Bronze
1994,Lillehammer,Luge,"HACKL, Georg",GER,Men,Singles,Gold
1998,Nagano,Luge,"BEHRENDT, Jan",GER,Men,Doubles,Gold
1998,Nagano,Luge,"KRAUSSE, Stefan",GER,Men,Doubles,Gold
1994,Lillehammer,Skiing,"DUFFNER, Christof",GER,Men,K120 Team (90M),Gold
1994,Lillehammer,Skiing,"JAEKLE, Hansjoerg",GER,Men,K120 Team (90M),Gold
1994,Lillehammer,Skiing,"THOMA, Dieter",GER,Men,K120 Team (90M),Gold
1994,Lillehammer,Skiing,"WEISSFLOG, Jens",GER,Men,K120 Team (90M),Gold
1994,Lillehammer,Skiing,"THOMA, Dieter",GER,Men,K90 Individual (70M),Bronze
1998,Nagano,Skiing,"HANNAWALD, Sven",GER,Men,K120 Team (90M),Silver
1998,Nagano,Skiing,"JAEKLE, Hansjoerg",GER,Men,K120 Team (90M),Silver
1998,Nagano,Skiing,"SCHMITT, Martin",GER,Men,K120 Team (90M),Silver
1998,Nagano,Skiing,"THOMA, Dieter",GER,Men,K120 Team (90M),Silver
2002,Salt Lake City,Skiing,"ANGERER, Tobias",GER,Men,4X10KM Relay,Bronze
2002,Salt Lake City,Biathlon,"SENDEL, Peter",GER,Men,4X7.5KM Relay,Silver
2006,Turin,Biathlon,"FISCHER, Sven",GER,Men,10KM,Gold
2006,Turin,Biathlon,"FISCHER, Sven",GER,Men,12.5Km Pursuit,Bronze
2006,Turin,Biathlon,"GREIS, Michael",GER,Men,15KM Mass Start,Gold
2006,Turin,Biathlon,"GREIS, Michael",GER,Men,20KM,Gold
2006,Turin,Biathlon,"FISCHER, Sven",GER,Men,4X7.5KM Relay,Gold
2006,Turin,Biathlon,"GREIS, Michael",GER,Men,4X7.5KM Relay,Gold
2006,Turin,Biathlon,"GROSS, Ricco",GER,Men,4X7.5KM Relay,Gold
2006,Turin,Biathlon,"ROESCH, Michael",GER,Men,4X7.5KM Relay,Gold
2014,Sochi,Biathlon,"LESSER, Erik",GER,Men,20KM,Silver
2014,Sochi,Biathlon,"BOEHM, Daniel",GER,Men,4X7.5KM Relay,Silver
1998,Nagano,Bobsleigh,"HAMPEL, Olaf",GER,Men,Four-Man,Gold
1998,Nagano,Bobsleigh,"JAKOBS, Marco",GER,Men,Four-Man,Gold
1998,Nagano,Bobsleigh,"LANGEN, Christoph",GER,Men,Four-Man,Gold
1998,Nagano,Bobsleigh,"ZIMMERMANN, Markus",GER,Men,Four-Man,Gold
1998,Nagano,Bobsleigh,"LANGEN, Christoph",GER,Men,Two-Man,Bronze
1998,Nagano,Bobsleigh,"ZIMMERMANN, Markus",GER,Men,Two-Man,Bronze
1998,Nagano,Luge,"MUELLER, Jens",GER,Men,Singles,Bronze
1998,Nagano,Luge,"HACKL, Georg",GER,Men,Singles,Gold
