Year,City,Sport,Athlete,Country,Gender,Event,Medal
2002,Salt Lake City,Skating,"BRADBURY, Steven",AUS,Men,1000M,Gold
2002,Salt Lake City,Skiing,"CAMPLIN, Alisa",AUS,Women,Aerials,Gold
2006,Turin,Skiing,"BEGG-SMITH, Dale",AUS,Men,Moguls,Gold
2010,Vancouver,Skiing,"LASSILA, Lydia",AUS,Women,Aerials,Gold
2010,Vancouver,Skiing,"BRIGHT, Torah",AUS,Women,Half-Pipe,Gold
1936,Garmisch Partenkirchen,Skating,"BAIER, Ernst",GER,Men,Pairs,Gold
1992,Albertville,Skating,"ZINKE, Olaf",GER,Men,1000M,Gold
1936,Garmisch Partenkirchen,Skiing,"PFNeeR, Franz",GER,Men,Alpine Combined,Gold
1994,Lillehammer,Skiing,"WASMEIER, Markus",GER,Men,Giant Slalom,Gold
1994,Lillehammer,Skiing,"WASMEIER, Markus",GER,Men,Super-G,Gold
1992,Albertville,Biathlon,"KIRCHNER, Mark",GER,Men,10KM,Gold
1992,Albertville,Biathlon,"FISCHER, Fritz",GER,Men,4X7.5KM Relay,Gold
1992,Albertville,Biathlon,"GROSS, Ricco",GER,Men,4X7.5KM Relay,Gold
1992,Albertville,Biathlon,"KIRCHNER, Mark",GER,Men,4X7.5KM Relay,Gold
1992,Albertville,Biathlon,"STEINIGEN, Jens",GER,Men,4X7.5KM Relay,Gold
1994,Lillehammer,Biathlon,"FISCHER, Sven",GER,Men,4X7.5KM Relay,Gold
1994,Lillehammer,Biathlon,"GROSS, Ricco",GER,Men,4X7.5KM Relay,Gold
1992,Albertville,Luge,"BEHRENDT, Jan",GER,Men,Doubles,Gold
1992,Albertville,Luge,"KRAUSSE, Stefan",GER,Men,Doubles,Gold
1992,Albertville,Luge,"HACKL, Georg",GER,Men,Singles,Gold
1992,Albertville,Skating,"MEY, Uwe-Jens",GER,Men,500M,Gold
1994,Lillehammer,Skiing,"WEISSFLOG, Jens",GER,Men,K120 Individual (90M),Gold
1994,Lillehammer,Biathlon,"KIRCHNER, Mark",GER,Men,4X7.5KM Relay,Gold
1994,Lillehammer,Biathlon,"LUCK, Frank",GER,Men,4X7.5KM Relay,Gold
1998,Nagano,Biathlon,"FISCHER, Sven",GER,Men,4X7.5KM Relay,Gold
1998,Nagano,Biathlon,"GROSS, Ricco",GER,Men,4X7.5KM Relay,Gold
1998,Nagano,Biathlon,"LUCK, Frank",GER,Men,4X7.5KM Relay,Gold
1998,Nagano,Biathlon,"SENDEL, Peter",GER,Men,4X7.5KM Relay,Gold
1994,Lillehammer,Bobsleigh,"BRANNASCH, Karsten",GER,Men,Four-Man,Gold
1994,Lillehammer,Bobsleigh,"CZUDAJ, Harald",GER,Men,Four-Man,Gold
1994,Lillehammer,Bobsleigh,"HAMPEL, Olaf",GER,Men,Four-Man,Gold
1994,Lillehammer,Bobsleigh,"SZELIG, Alexander",GER,Men,Four-Man,Gold
1994,Lillehammer,Luge,"HACKL, Georg",GER,Men,Singles,Gold
1998,Nagano,Luge,"BEHRENDT, Jan",GER,Men,Doubles,Gold
1998,Nagano,Luge,"KRAUSSE, Stefan",GER,Men,Doubles,Gold
1994,Lillehammer,Skiing,"DUFFNER, Christof",GER,Men,K120 Team (90M),Gold
1994,Lillehammer,Skiing,"JAEKLE, Hansjoerg",GER,Men,K120 Team (90M),Gold
1994,Lillehammer,Skiing,"THOMA, Dieter",GER,Men,K120 Team (90M),Gold
1994,Lillehammer,Skiing,"WEISSFLOG, Jens",GER,Men,K120 Team (90M),Gold
2006,Turin,Biathlon,"FISCHER, Sven",GER,Men,10KM,Gold
2006,Turin,Biathlon,"GREIS, Michael",GER,Men,15KM Mass Start,Gold
2006,Turin,Biathlon,"GREIS, Michael",GER,Men,20KM,Gold
2006,Turin,Biathlon,"FISCHER, Sven",GER,Men,4X7.5KM Relay,Gold
2006,Turin,Biathlon,"GREIS, Michael",GER,Men,4X7.5KM Relay,Gold
2006,Turin,Biathlon,"GROSS, Ricco",GER,Men,4X7.5KM Relay,Gold
2006,Turin,Biathlon,"ROESCH, Michael",GER,Men,4X7.5KM Relay,Gold
1998,Nagano,Bobsleigh,"HAMPEL, Olaf",GER,Men,Four-Man,Gold
1998,Nagano,Bobsleigh,"JAKOBS, Marco",GER,Men,Four-Man,Gold
1998,Nagano,Bobsleigh,"LANGEN, Christoph",GER,Men,Four-Man,Gold
1998,Nagano,Bobsleigh,"ZIMMERMANN, Markus",GER,Men,Four-Man,Gold
1998,Nagano,Luge,"HACKL, Georg",GER,Men,Singles,Gold
2002,Salt Lake City,Luge,"LEITNER, Patric-Fritz",GER,Men,Doubles,Gold
2002,Salt Lake City,Luge,"RESCH, Alexander",GER,Men,Doubles,Gold
2002,Salt Lake City,Skiing,"HANNAWALD, Sven",GER,Men,K120 Team (90M),Gold
2002,Salt Lake City,Skiing,"HOCKE, Stephan",GER,Men,K120 Team (90M),Gold
2002,Salt Lake City,Skiing,"SCHMITT, Martin",GER,Men,K120 Team (90M),Gold
2002,Salt Lake City,Skiing,"UHRMANN, Michael",GER,Men,K120 Team (90M),Gold
2002,Salt Lake City,Bobsleigh,"EMBACH, Carsten",GER,Men,Four-Man,Gold
2002,Salt Lake City,Bobsleigh,"KUEHN, Enrico",GER,Men,Four-Man,Gold
2002,Salt Lake City,Bobsleigh,"KUSKE, Kevin",GER,Men,Four-Man,Gold
2002,Salt Lake City,Bobsleigh,"LANGE, Andre",GER,Men,Four-Man,Gold
2002,Salt Lake City,Bobsleigh,"LANGEN, Christoph",GER,Men,Two-Man,Gold
2002,Salt Lake City,Bobsleigh,"ZIMMERMANN, Markus",GER,Men,Two-Man,Gold
2006,Turin,Bobsleigh,"HOPPE, Rene",GER,Men,Four-Man,Gold
2006,Turin,Bobsleigh,"KUSKE, Kevin",GER,Men,Four-Man,Gold
2006,Turin,Bobsleigh,"LANGE, Andre",GER,Men,Four-Man,Gold
2006,Turin,Bobsleigh,"PUTZE, Martin",GER,Men,Four-Man,Gold
2010,Vancouver,Luge,"LOCH, Felix",GER,Men,Singles,Gold
2014,Sochi,Luge,"ARLT, Tobias",GER,Men,Doubles,Gold
2006,Turin,Skiing,"HETTICH, Georg",GER,Men,Individual,Gold
2006,Turin,Bobsleigh,"KUSKE, Kevin",GER,Men,Two-Man,Gold
2006,Turin,Bobsleigh,"LANGE, Andre",GER,Men,Two-Man,Gold
2010,Vancouver,Bobsleigh,"KUSKE, Kevin",GER,Men,Two-Man,Gold
2010,Vancouver,Bobsleigh,"LANGE, Andre",GER,Men,Two-Man,Gold
2014,Sochi,Luge,"WENDL, Tobias",GER,Men,Doubles,Gold
2014,Sochi,Luge,"ARLT, Tobias",GER,Men,Mixed Relay,Gold
2014,Sochi,Luge,"LOCH, Felix",GER,Men,Mixed Relay,Gold
2014,Sochi,Luge,"WENDL, Tobias",GER,Men,Mixed Relay,Gold
2014,Sochi,Luge,"LOCH, Felix",GER,Men,Singles,Gold
2014,Sochi,Skiing,"FRENZEL, Eric",GER,Men,Ind. K90 (70M),Gold
2014,Sochi,Skiing,"FREUND, Severin",GER,Men,Teams,Gold
2014,Sochi,Skiing,"KRAUS, Marinus",GER,Men,Teams,Gold
2014,Sochi,Skiing,"WANK, Andreas",GER,Men,Teams,Gold
2014,Sochi,Skiing,"WELLINGER, Andreas",GER,Men,Teams,Gold
1936,Garmisch Partenkirchen,Skating,"HERBER, Maxi",GER,Women,Pairs,Gold
1992,Albertville,Skating,"Be_RNER, Jacqueline",GER,Women,1500M,Gold
1992,Albertville,Skating,"NIEMANN-STIRNEMANN, Gunda",GER,Women,3000M,Gold
1992,Albertville,Skating,"NIEMANN-STIRNEMANN, Gunda",GER,Women,5000M,Gold
1994,Lillehammer,Skating,"PECHSTEIN, Claudia",GER,Women,5000M,Gold
1998,Nagano,Skating,"NIEMANN-STIRNEMANN, Gunda",GER,Women,3000M,Gold
