Year,City,Sport,Athlete,Country,Gender,Event,Medal
2010,Vancouver,Skiing,"BEGG-SMITH, Dale",AUS,Men,Moguls,Silver
2014,Sochi,Skiing,"MORRIS, David",AUS,Men,Aerials,Silver
2014,Sochi,Skiing,"BRIGHT, Torah",AUS,Women,Half-Pipe,Silver
1936,Garmisch Partenkirchen,Skating,"BAIER, Ernst",GER,Men,Individual,Silver
1936,Garmisch Partenkirchen,Skiing,"LANTSCHNER, Gustav",GER,Men,Alpine Combined,Silver
1992,Albertville,Biathlon,"GROSS, Ricco",GER,Men,10KM,Silver
1992,Albertville,Biathlon,"KIRCHNER, Mark",GER,Men,20KM,Silver
1994,Lillehammer,Biathlon,"GROSS, Ricco",GER,Men,10KM,Silver
1994,Lillehammer,Biathlon,"LUCK, Frank",GER,Men,20KM,Silver
1992,Albertville,Bobsleigh,"HANNEMANN, Rene",GER,Men,Four-Man,Silver
1992,Albertville,Bobsleigh,"HOPPE, Wolfgang",GER,Men,Four-Man,Silver
1992,Albertville,Bobsleigh,"KeeHN, Axel",GER,Men,Four-Man,Silver
1992,Albertville,Bobsleigh,"MUSIOL, Bogdan",GER,Men,Four-Man,Silver
1992,Albertville,Bobsleigh,"LOCHNER, Rudolf",GER,Men,Two-Man,Silver
1992,Albertville,Bobsleigh,"ZIMMERMANN, Markus",GER,Men,Two-Man,Silver
1992,Albertville,Luge,"MANKEL, Yves",GER,Men,Doubles,Silver
1992,Albertville,Luge,"RUDOLPH, Thomas",GER,Men,Doubles,Silver
2002,Salt Lake City,Biathlon,"FISCHER, Sven",GER,Men,10KM,Silver
2002,Salt Lake City,Biathlon,"LUCK, Frank",GER,Men,20KM,Silver
2002,Salt Lake City,Biathlon,"FISCHER, Sven",GER,Men,4X7.5KM Relay,Silver
2002,Salt Lake City,Biathlon,"GROSS, Ricco",GER,Men,4X7.5KM Relay,Silver
2002,Salt Lake City,Biathlon,"LUCK, Frank",GER,Men,4X7.5KM Relay,Silver
1998,Nagano,Skiing,"HANNAWALD, Sven",GER,Men,K120 Team (90M),Silver
1998,Nagano,Skiing,"JAEKLE, Hansjoerg",GER,Men,K120 Team (90M),Silver
1998,Nagano,Skiing,"SCHMITT, Martin",GER,Men,K120 Team (90M),Silver
1998,Nagano,Skiing,"THOMA, Dieter",GER,Men,K120 Team (90M),Silver
2002,Salt Lake City,Biathlon,"SENDEL, Peter",GER,Men,4X7.5KM Relay,Silver
2014,Sochi,Biathlon,"LESSER, Erik",GER,Men,20KM,Silver
2014,Sochi,Biathlon,"BOEHM, Daniel",GER,Men,4X7.5KM Relay,Silver
2002,Salt Lake City,Luge,"HACKL, Georg",GER,Men,Singles,Silver
2006,Turin,Luge,"FLORSCHUETZ, Andre",GER,Men,Doubles,Silver
2002,Salt Lake City,Skiing,"SCHLICKENRIEDER, Peter",GER,Men,Sprint 1.5KM,Silver
2002,Salt Lake City,Skiing,"ACKERMANN, Ronny",GER,Men,Sprint,Silver
2002,Salt Lake City,Skiing,"ACKERMANN, Ronny",GER,Men,Team,Silver
2002,Salt Lake City,Skiing,"HETTICH, Georg",GER,Men,Team,Silver
2002,Salt Lake City,Skiing,"HOEHLIG, Marcel",GER,Men,Team,Silver
2002,Salt Lake City,Skiing,"KIRCHEISEN, Bjoern",GER,Men,Team,Silver
2014,Sochi,Biathlon,"LESSER, Erik",GER,Men,4X7.5KM Relay,Silver
2014,Sochi,Biathlon,"PEIFFER, Arnd",GER,Men,4X7.5KM Relay,Silver
2014,Sochi,Biathlon,"SCHEMPP, Simon",GER,Men,4X7.5KM Relay,Silver
2006,Turin,Luge,"WUSTLICH, Torsten",GER,Men,Doubles,Silver
2010,Vancouver,Luge,"MOELLER, David",GER,Men,Singles,Silver
2002,Salt Lake City,Skiing,"HANNAWALD, Sven",GER,Men,K90 Individual (70M),Silver
2006,Turin,Skiing,"ANGERER, Tobias",GER,Men,4X10KM Relay,Silver
2006,Turin,Skiing,"FILBRICH, Jens",GER,Men,4X10KM Relay,Silver
2006,Turin,Skiing,"SCHLUETTER, Andreas",GER,Men,4X10KM Relay,Silver
2006,Turin,Skiing,"SOMMERFELDT, Rene",GER,Men,4X10KM Relay,Silver
2006,Turin,Skiing,"ACKERMANN, Ronny",GER,Men,Team,Silver
2006,Turin,Skiing,"GAISER, Jens",GER,Men,Team,Silver
2006,Turin,Skiing,"HETTICH, Georg",GER,Men,Team,Silver
2006,Turin,Skiing,"KIRCHEISEN, Bjoern",GER,Men,Team,Silver
2010,Vancouver,Skiing,"TEICHMANN, Axel",GER,Men,50KM,Silver
2010,Vancouver,Skiing,"ANGERER, Tobias",GER,Men,Combined 15 + 15KM Mass Start,Silver
2010,Vancouver,Skiing,"TEICHMANN, Axel",GER,Men,Team Sprint,Silver
2010,Vancouver,Skiing,"TSCHARNKE, Tim",GER,Men,Team Sprint,Silver
2010,Vancouver,Skiing,"NEUMAYER, Michael",GER,Men,K120 Team (90M),Silver
2010,Vancouver,Skiing,"SCHMITT, Martin",GER,Men,K120 Team (90M),Silver
2010,Vancouver,Bobsleigh,"KUSKE, Kevin",GER,Men,Four-Man,Silver
2010,Vancouver,Bobsleigh,"LANGE, Andre",GER,Men,Four-Man,Silver
2010,Vancouver,Bobsleigh,"PUTZE, Martin",GER,Men,Four-Man,Silver
2010,Vancouver,Bobsleigh,"ROEDIGER, Alexander",GER,Men,Four-Man,Silver
2010,Vancouver,Skiing,"UHRMANN, Michael",GER,Men,K120 Team (90M),Silver
2010,Vancouver,Skiing,"WANK, Andreas",GER,Men,K120 Team (90M),Silver
2014,Sochi,Skiing,"FRENZEL, Eric",GER,Men,"Team, 4X5 KM",Silver
2014,Sochi,Skiing,"KIRCHEISEN, Bjoern",GER,Men,"Team, 4X5 KM",Silver
2014,Sochi,Skiing,"RIESSLE, Fabian",GER,Men,"Team, 4X5 KM",Silver
2014,Sochi,Skiing,"RYDZEK, Johannes",GER,Men,"Team, 4X5 KM",Silver
2010,Vancouver,Bobsleigh,"ADJEI, Richard",GER,Men,Two-Man,Silver
2010,Vancouver,Bobsleigh,"FLORSCHUETZ, Thomas",GER,Men,Two-Man,Silver
1992,Albertville,Skating,"NIEMANN-STIRNEMANN, Gunda",GER,Women,1500M,Silver
1992,Albertville,Skating,"WARNICKE, Heike",GER,Women,3000M,Silver
1992,Albertville,Skating,"WARNICKE, Heike",GER,Women,5000M,Silver
1994,Lillehammer,Skating,"BAIER-LOEF, Anke",GER,Women,1000M,Silver
1994,Lillehammer,Skating,"NIEMANN-STIRNEMANN, Gunda",GER,Women,5000M,Silver
1998,Nagano,Skating,"NIEMANN-STIRNEMANN, Gunda",GER,Women,1500M,Silver
1992,Albertville,Biathlon,"DISL, Uschi",GER,Women,4X7.5KM Relay,Silver
1992,Albertville,Biathlon,"HARVEY, Antje",GER,Women,4X7.5KM Relay,Silver
1992,Albertville,Biathlon,"SCHAAF, Petra",GER,Women,4X7.5KM Relay,Silver
1992,Albertville,Biathlon,"HARVEY, Antje",GER,Women,7.5KM,Silver
1994,Lillehammer,Biathlon,"DISL, Uschi",GER,Women,4X7.5KM Relay,Silver
1994,Lillehammer,Biathlon,"GREINER-PETTER-MEMM, Simone",GER,Women,4X7.5KM Relay,Silver
1994,Lillehammer,Biathlon,"HARVEY, Antje",GER,Women,4X7.5KM Relay,Silver
1994,Lillehammer,Biathlon,"SCHAAF, Petra",GER,Women,4X7.5KM Relay,Silver
1998,Nagano,Skating,"PECHSTEIN, Claudia",GER,Women,3000M,Silver
1998,Nagano,Skating,"NIEMANN-STIRNEMANN, Gunda",GER,Women,5000M,Silver
2002,Salt Lake City,Skating,"VOELKER, Sabine",GER,Women,1000M,Silver
2002,Salt Lake City,Skating,"VOELKER, Sabine",GER,Women,1500M,Silver
1998,Nagano,Biathlon,"DISL, Uschi",GER,Women,7.5KM,Silver
2002,Salt Lake City,Biathlon,"WILHELM, Kati",GER,Women,10KM Pursuit,Silver
2002,Salt Lake City,Biathlon,"DISL, Uschi",GER,Women,7.5KM,Silver
2006,Turin,Biathlon,"GLAGOW, Martina",GER,Women,10KM Pursuit,Silver
2006,Turin,Biathlon,"WILHELM, Kati",GER,Women,12.5KM Mass Start,Silver
2002,Salt Lake City,Skating,"GARBRECHT-ENFELDT, Monique",GER,Women,500M,Silver
2006,Turin,Skating,"PECHSTEIN, Claudia",GER,Women,5000M,Silver
1936,Garmisch Partenkirchen,Skiing,"GRASEGGER, Ke_the",GER,Women,Alpine Combined,Silver
